0,0,0
1,20,90
4,36,82
1,30,91
0,12,138
4,37,82
1,25,105
1,24,117
1,23,90
4,47,78
2,21,79
0,15,100
1,15,59
3,25,49
0,8,118
1,20,119
9,36,120
3,24,108
0,7,92
0,0,71
1,28,65
3,35,81
0,15,86
3,33,101
3,36,83
13,51,70
0,21,76
2,48,121
10,43,48
15,58,72
2,22,91
0,33,88
2,18,83
2,30,116
24,57,86
0,17,121
2,25,128
9,44,109
3,30,106
6,64,124
0,30,79
0,18,82
5,29,68
4,28,87
2,32,87
3,48,69
1,35,89
9,57,78
0,21,79
3,40,85
5,38,107
12,65,113
17,59,91
6,23,99
10,53,80
2,32,118
0,24,80
1,24,71
15,58,67
5,37,112
5,42,102
3,29,125
16,57,71
6,60,93
4,45,83
6,58,88
2,34,79
2,36,105
7,52,75
17,47,87
0,19,107
1,17,75
3,21,142
3,31,120
12,51,91
6,34,95
9,58,93
5,40,90
0,0,96
3,46,104
2,28,93
11,38,85
0,0,87
0,0,101
4,41,99
4,27,109
3,30,92
0,10,82
3,45,101
0,11,107
1,27,82
8,55,70
1,14,97
3,43,77
0,7,83
8,41,96
33,64,40
1,33,131
25,39,83
1,16,115
3,39,92
3,27,102
0,13,85
3,28,63
3,40,81
1,20,150
1,9,98
22,68,99
6,46,86
6,32,134
1,51,112
1,18,99
5,49,77
2,33,153
0,20,114
1,33,165
0,12,107
0,19,127
3,39,82
5,31,131
4,29,89
38,93,76
1,29,82
1,16,94
0,0,73
4,14,87
1,26,76
0,17,73
9,74,143
3,29,73
7,34,100
7,59,68
0,24,142
0,8,77
4,36,73
1,16,113
8,55,103
8,48,56
6,36,83
3,18,101
10,64,110
3,40,112
6,39,61
4,31,118
0,13,92
8,48,87
14,71,82
0,7,78
7,43,54
6,54,116
9,50,82
4,50,94
1,15,86
7,45,115
7,58,121
9,50,77
2,28,96
4,27,59
14,62,57
4,43,74
24,74,32
0,33,114
0,34,109
6,42,69
4,23,91
6,27,74
0,8,107
5,23,66
1,24,99
1,14,104
1,29,76
0,9,104
0,21,148
3,41,80
7,58,66
1,35,108
1,19,68
21,66,78
0,28,122
0,20,76
11,32,58
9,67,66
10,32,57
2,17,97
13,48,74
7,39,85
7,40,57
2,39,80
0,18,111
1,14,71
0,24,89
3,27,76
2,28,49
14,41,64
0,13,79
13,39,76
3,37,119
1,19,77
0,11,113
16,55,54
8,48,93
12,45,73
0,7,97
1,30,103
4,29,112
4,53,140
7,47,62
0,7,99
6,24,79
7,32,79
5,49,76
20,44,57
3,23,95
7,59,81
0,8,84
0,6,96
3,32,104
0,6,84
5,32,90
0,18,82
2,25,69
3,28,86
3,22,114
4,51,97
2,25,94
7,35,68
20,79,70
1,19,70
0,28,112
21,72,61
6,40,70
0,27,120
4,38,90
0,23,83
2,24,99
11,55,81
37,98,54
25,74,43
1,24,119
2,17,69
0,16,86
19,68,94
2,30,101
3,35,95
1,12,106
10,49,66
0,9,105
4,37,60
0,15,78
3,30,79
9,48,76
5,24,96
0,15,114
2,35,109
0,21,100
0,7,116
9,45,57
5,55,126
1,26,118
8,58,131
2,24,62
18,85,78
9,45,48
6,46,75
27,81,99
1,29,83
0,26,80
8,32,111
5,52,93
7,46,80
1,31,97
6,42,72
0,7,96
