0,0,0
14,83,173
20,108,144
44,111,135
54,119,90
57,122,125
19,94,80
99,164,57
9,89,157
25,112,157
28,97,109
62,139,88
11,66,125
5,59,168
2,49,146
15,55,80
85,147,75
35,106,87
13,88,119
14,71,149
21,77,73
17,104,153
61,174,125
24,87,96
6,36,191
2,45,142
52,135,100
7,83,129
37,104,98
32,109,140
7,78,124
111,183,51
8,66,112
13,69,115
114,181,114
19,84,127
6,71,194
62,159,84
2,42,120
38,153,146
18,63,134
15,102,163
48,135,84
18,124,137
9,68,154
34,133,165
6,60,180
7,69,161
80,173,71
14,101,135
14,83,150
19,102,122
90,125,71
43,93,98
57,139,120
63,120,58
5,44,173
26,118,143
50,130,65
23,79,115
44,136,102
57,130,84
44,130,169
57,108,59
22,76,147
22,94,94
28,120,120
12,52,117
4,69,140
34,128,116
5,30,148
33,105,120
44,137,107
5,52,142
42,126,98
48,139,112
20,92,107
27,83,137
4,49,114
50,139,118
57,108,56
9,89,153
12,124,163
18,97,151
83,146,108
73,136,89
51,129,77
36,142,96
134,159,31
95,129,68
87,159,78
25,101,99
26,83,75
28,115,116
19,41,50
7,69,115
15,89,110
133,218,94
9,96,157
32,118,121
10,96,130
21,81,117
15,107,110
40,109,119
30,86,118
1,32,160
11,98,196
2,50,186
12,70,102
7,50,117
26,76,146
55,118,98
48,152,168
7,59,116
77,165,96
55,177,114
18,125,182
34,118,122
2,66,168
21,85,95
55,139,113
4,55,152
24,91,139
10,67,116
52,116,71
56,127,100
6,53,104
63,140,99
38,123,135
57,128,84
87,155,57
36,106,92
27,69,64
40,112,123
0,16,143
8,65,201
25,71,88
5,43,124
7,49,122
34,131,126
4,71,210
17,95,103
19,76,111
5,66,171
5,53,156
5,65,128
113,103,46
9,45,126
106,163,104
23,103,78
11,79,149
55,152,72
124,149,59
20,92,101
13,72,129
28,82,145
1,24,137
29,124,123
7,56,137
84,138,55
16,102,114
2,30,151
10,89,154
41,118,102
97,153,56
128,218,82
5,38,110
14,85,125
35,122,99
37,132,128
19,83,118
6,49,143
10,61,112
18,87,147
234,142,37
8,61,159
16,59,97
15,57,68
4,59,221
40,109,96
17,114,141
10,105,220
25,88,92
15,106,131
18,100,160
40,149,127
14,84,148
28,79,87
38,123,124
17,93,120
40,139,168
34,102,111
40,126,130
6,61,126
19,98,138
36,121,121
17,107,161
12,54,117
17,91,159
5,40,116
55,151,108
98,164,101
11,66,139
14,107,135
96,162,87
9,85,221
23,104,91
18,66,121
14,89,149
25,84,123
21,93,73
66,129,75
29,114,140
63,181,138
1,42,162
117,138,65
16,94,150
42,128,124
41,138,116
65,165,109
74,127,98
40,120,58
36,121,119
18,97,128
27,98,135
41,100,99
24,100,137
25,77,131
8,55,104
89,177,124
9,76,141
22,96,109
15,103,129
14,72,113
25,94,134
25,95,149
18,98,158
18,88,90
0,40,166
30,123,117
10,73,149
13,90,98
9,72,123
4,49,161
1,47,137
18,79,142
112,179,100
3,54,200
8,92,133
1,26,136
102,195,85
1,27,144
16,112,146
4,66,137
25,79,90
41,115,79
40,146,114
37,130,125
40,91,62
32,87,93
49,135,113
67,124,121
8,59,159
42,116,93
76,127,72
16,79,132
30,109,99
29,136,146
70,189,93
92,162,90
19,93,108
2,45,103
37,99,117
16,66,113
31,110,77
14,65,152
13,88,151
16,85,94
80,160,66
6,48,113
7,54,134
16,114,120
9,65,100
21,121,164
73,152,81
25,85,117
9,69,94
4,55,132
3,51,179
42,128,114
11,79,142
52,120,94
10,84,136
17,70,84
22,93,130
64,152,77
24,65,91
21,87,130
90,138,58
14,84,137
100,118,36
12,93,112
6,39,175
12,102,177
16,99,169
5,56,92
68,171,123
6,53,118
6,69,182
63,167,112
71,144,115
9,61,116
12,80,135
27,96,134
18,133,173
9,59,146
6,46,130
19,109,144
50,130,89
26,102,90
23,116,105
35,104,144
36,142,115
30,68,56
16,78,113
11,86,112
14,96,131
12,75,118
20,81,108
33,120,152
9,82,144
30,103,101
12,107,162
22,84,130
39,128,72
50,115,64
14,98,169
31,85,118
6,70,160
10,84,180
32,120,125
2,34,76
10,72,109
6,60,180
26,116,103
37,106,76
24,91,94
53,95,99
5,64,137
2,35,190
52,122,100
19,126,124
21,83,105
20,107,104
26,110,108
3,56,159
61,119,85
42,81,88
16,96,110
9,75,144
38,153,149
52,116,83
9,60,131
4,33,176
51,148,127
108,122,60
89,141,113
23,94,118
30,107,79
42,102,138
26,117,169
121,148,53
111,149,80
7,68,151
36,128,150
26,105,117
23,87,172
10,97,164
32,105,94
52,113,63
28,92,93
101,187,85
41,133,104
49,145,87
8,58,95
12,90,161
7,67,116
36,98,145
55,103,46
27,111,106
53,126,113
11,68,97
5,69,165
16,93,115
71,162,99
12,102,125
17,100,101
47,145,113
10,65,142
90,165,80
0,21,204
45,112,102
4,45,121
21,108,127
12,56,154
51,153,127
32,108,132
5,45,128
19,90,127
34,124,101
18,117,163
179,220,75
59,129,96
1,33,234
13,111,163
24,88,116
59,138,94
26,65,92
36,110,140
15,95,122
39,116,66
10,74,157
10,81,167
10,87,132
44,152,130
23,104,172
10,69,121
106,164,65
9,60,149
27,116,125
18,77,129
14,83,140
18,107,118
91,128,83
87,141,46
20,136,125
81,135,87
72,170,104
43,143,156
32,105,115
7,78,118
12,46,129
65,135,79
38,161,146
87,149,83
82,167,89
19,94,143
20,83,121
30,129,129
35,122,98
2,45,173
29,123,136
0,10,228
11,76,174
27,123,138
49,147,85
39,115,153
17,85,99
66,148,91
19,97,102
12,100,150
6,70,156
2,28,117
26,94,126
34,109,117
8,82,155
30,141,162
144,151,45
9,90,175
10,87,173
17,91,122
20,98,106
38,130,90
17,85,168
9,43,146
42,125,107
18,100,117
10,70,165
3,62,183
7,67,191
13,106,136
35,129,134
11,80,118
6,60,129
26,74,121
23,122,114
57,118,74
1,28,203
13,84,91
14,80,108
74,169,107
10,61,93
44,131,115
21,76,66
12,78,142
38,134,97
24,73,95
33,96,112
51,138,121
18,125,141
27,109,87
11,74,109
103,206,123
12,72,116
8,64,114
38,109,146
96,146,57
55,124,93
16,66,128
52,133,165
5,80,174
26,88,109
92,159,80
19,148,173
13,80,92
31,116,124
24,78,118
97,178,68
21,67,158
30,102,116
52,119,77
13,86,124
209,131,33
75,121,56
6,77,137
52,121,58
73,143,76
18,109,139
59,117,112
21,73,192
13,107,118
22,116,146
74,134,92
16,82,112
26,115,119
51,155,130
26,104,96
21,107,116
20,79,93
16,90,119
22,114,130
35,117,103
69,117,80
16,113,159
28,114,113
14,89,134
60,99,86
19,93,111
84,135,69
64,145,74
20,104,120
47,137,136
208,165,41
10,91,120
13,97,132
110,154,79
18,89,151
43,151,157
31,71,107
23,115,177
4,61,95
12,96,121
28,83,127
7,74,181
25,99,119
91,126,79
37,163,148
11,98,145
24,95,159
62,132,114
35,155,124
16,80,98
0,18,155
6,65,152
20,136,161
7,65,164
7,70,126
28,130,147
32,122,137
16,103,117
158,177,41
21,83,118
23,103,123
31,109,98
33,110,189
14,93,160
64,149,88
22,61,67
43,151,150
8,55,160
47,138,96
17,88,138
4,58,210
17,98,152
5,64,144
7,36,98
5,63,165
111,163,51
54,164,144
60,167,126
30,135,158
18,74,149
26,105,128
3,39,132
7,81,142
100,177,59
66,156,101
24,84,61
8,69,148
19,103,151
38,101,110
34,118,137
36,139,148
7,71,138
1,32,183
38,148,130
0,40,248
30,102,129
8,78,141
13,66,149
46,136,124
4,43,157
11,76,150
0,37,209
14,101,124
93,166,80
17,81,108
18,86,124
6,57,114
17,92,100
26,121,115
9,73,130
13,67,147
16,70,104
0,14,233
26,118,145
18,123,184
22,109,170
42,104,81
19,100,111
44,118,142
28,84,85
7,86,152
10,76,138
17,130,167
38,156,137
24,94,127
39,88,52
56,153,115
45,133,108
25,91,115
7,64,120
13,73,140
24,93,119
9,68,151
8,81,170
49,152,145
13,110,173
2,45,188
20,92,123
26,120,171
19,92,131
61,109,73
17,91,95
29,111,162
98,133,66
44,116,107
14,100,146
5,78,179
30,108,112
55,124,83
62,105,64
8,70,178
14,62,88
0,11,126
13,86,167
44,134,87
38,86,87
1,42,186
107,165,107
61,163,113
13,97,164
44,159,120
58,132,79
9,79,177
14,95,160
79,140,71
14,82,166
5,44,133
14,78,128
22,103,142
36,109,110
22,85,102
21,120,131
12,78,163
12,81,120
22,118,184
35,122,106
3,39,106
6,78,181
13,78,151
59,156,110
39,117,145
9,91,176
47,146,121
42,77,67
49,135,97
11,81,134
12,76,137
42,109,75
28,117,127
20,89,131
10,94,236
39,104,96
6,51,199
66,184,104
3,37,127
80,159,98
0,36,204
12,71,132
6,52,124
9,78,130
21,86,134
70,132,84
29,114,104
48,132,96
8,81,178
23,106,162
66,137,77
47,139,111
60,154,83
39,112,129
115,129,74
30,99,101
20,80,165
49,131,121
17,104,144
34,134,113
35,84,123
0,31,226
55,109,114
36,107,91
8,66,172
15,89,143
45,149,131
1,30,170
43,135,113
11,86,269
36,107,108
74,96,92
5,75,168
18,76,102
43,118,122
6,60,113
29,95,91
58,166,107
11,94,113
10,68,142
18,131,169
106,174,65
39,109,100
26,123,116
23,99,130
14,74,104
41,132,107
17,110,109
73,137,89
27,109,105
22,93,152
1,42,202
48,116,121
168,171,72
21,94,108
4,36,128
9,60,94
6,64,158
20,75,111
19,80,108
13,75,99
11,97,159
11,44,145
12,84,132
11,54,171
59,147,102
18,90,144
27,113,88
12,49,121
63,151,68
56,127,68
62,130,88
26,101,94
17,78,105
16,111,183
123,172,59
11,64,149
74,175,94
41,123,100
67,144,83
152,145,58
4,60,210
20,90,133
56,115,69
64,142,75
43,152,136
8,75,122
20,86,102
18,124,196
8,55,131
21,80,127
7,56,147
16,77,135
11,68,125
16,91,152
29,96,118
14,78,149
23,116,130
42,128,102
18,91,128
126,159,58
82,132,73
8,77,103
13,81,156
22,128,135
108,161,49
87,121,63
38,134,114
33,103,94
115,158,77
27,124,127
46,113,102
6,70,152
21,109,168
43,138,123
15,93,124
59,134,95
7,71,170
36,155,134
14,75,160
5,56,154
14,88,147
4,64,149
19,90,96
35,98,98
21,86,112
22,98,132
12,79,98
53,125,55
4,55,124
54,99,70
20,104,154
17,84,141
37,155,133
18,118,179
3,53,168
9,92,138
34,106,86
53,129,81
104,151,62
113,205,79
97,185,87
2,58,220
9,84,191
12,80,128
3,53,106
57,113,98
7,83,169
40,151,123
25,125,107
10,70,106
69,125,80
20,100,127
17,91,126
19,94,117
14,75,120
5,44,134
199,143,22
11,82,123
121,109,35
8,58,106
16,79,129
36,134,160
27,121,107
42,127,90
27,85,157
10,71,157
5,69,185
5,58,150
32,143,154
3,55,175
33,102,94
26,110,91
15,82,148
45,103,92
61,150,92
19,98,123
21,99,164
77,159,92
34,113,98
36,124,91
11,57,70
35,158,155
18,85,131
2,31,183
85,164,76
50,141,108
13,92,127
8,70,97
21,77,138
27,105,136
39,123,118
10,51,117
42,121,116
25,74,108
5,55,132
14,98,110
97,154,74
12,109,181
24,143,165
8,64,132
10,81,122
43,113,146
38,152,145
20,86,90
17,113,184
28,92,106
34,115,126
25,104,151
5,61,114
15,75,159
27,106,104
27,124,133
68,140,80
44,102,89
36,97,87
17,108,130
13,81,170
3,55,236
12,83,130
44,112,78
27,122,124
41,136,149
28,121,128
22,146,158
8,83,136
36,127,80
35,119,131
14,76,105
45,140,101
59,133,67
14,92,133
3,41,165
37,93,89
16,105,163
10,88,207
19,85,126
28,93,132
0,28,181
55,168,102
17,65,107
97,177,77
60,142,80
31,140,169
48,109,76
51,94,81
139,190,74
45,139,136
93,165,84
20,100,123
166,192,58
44,141,119
46,124,64
21,108,116
59,150,105
8,65,142
2,43,129
14,110,126
43,86,137
76,176,115
6,73,167
47,139,149
15,61,133
39,98,93
28,101,134
16,97,85
60,166,105
35,128,122
26,121,105
49,148,98
60,125,51
13,106,126
2,35,143
17,91,168
49,128,92
16,124,159
25,93,113
51,140,69
9,69,137
31,126,103
17,106,120
5,64,114
5,68,122
3,56,143
59,150,125
13,73,135
65,148,86
175,161,38
80,154,80
14,82,86
30,138,114
32,133,100
36,125,90
18,65,47
10,58,84
52,125,91
77,184,87
8,63,130
12,71,122
37,112,100
21,81,142
35,129,128
5,34,160
18,131,174
73,102,64
19,79,98
62,132,65
46,161,108
8,97,213
58,136,107
4,60,147
